gene_symbol,uniprotkb_ac
NUDT4B,A0A024RBG1
TRBV21OR9-2,A0A075B6F4
TRBV20OR9-2,A0A075B6H5
TRBV20OR9-2,A0A075B6H5
IGKV3-7,A0A075B6H7
IGKV3-7,A0A075B6H7
IGKV1D-42,A0A075B6H8
IGLV4-69,A0A075B6H9
IGLV4-69,A0A075B6H9
IGLV8-61,A0A075B6I0
IGLV8-61,A0A075B6I0
IGLV4-60,A0A075B6I1
IGLV4-60,A0A075B6I1
IGLV11-55,A0A075B6I3
IGLV10-54,A0A075B6I4
IGLV10-54,A0A075B6I4
IGLV1-50,A0A075B6I6
IGLV1-50,A0A075B6I6
IGLV5-48,A0A075B6I7
IGLV7-46,A0A075B6I9
IGLV5-37,A0A075B6J1
IGLV5-37,A0A075B6J1
IGLV2-33,A0A075B6J2
IGLV3-22,A0A075B6J6
IGLV3-22,A0A075B6J6
IGLV2-18,A0A075B6J9
IGLV3-16,A0A075B6K0
IGLV3-12,A0A075B6K2
IGLV3-10,A0A075B6K4
IGLV3-9,A0A075B6K5
IGLV3-9,A0A075B6K5
IGLV4-3,A0A075B6K6
IGLV4-3,A0A075B6K6
TRGV11,A0A075B6L2
TRGV11,A0A075B6L2
TRBV7-3,A0A075B6L6
TRBV23OR9-2,A0A075B6M9
TRBV19,A0A075B6N1
TRBV20-1,A0A075B6N2
TRBV20-1,A0A075B6N2
TRBV24-1,A0A075B6N3
TRBV25-1,A0A075B6N4
IGKV2-28,A0A075B6P5
IGHV3-64,A0A075B6Q5
IGHV3-64,A0A075B6Q5
TRGV2,A0A075B6R0
TRGV2,A0A075B6R0
IGHV4-4,A0A075B6R2
IGKV2D-24,A0A075B6R9
IGKV2D-24,A0A075B6R9
TRGJ1,A0A075B6S0
IGKV2D-29,A0A075B6S2
IGKV2D-29,A0A075B6S2
IGKV1D-17,A0A075B6S4
IGKV1D-17,A0A075B6S4
IGKV1-27,A0A075B6S5
IGKV1-27,A0A075B6S5
IGKV2D-30,A0A075B6S6
IGKV2D-30,A0A075B6S6
IGKV1-37,A0A075B6S9
IGKV1-37,A0A075B6S9
ENSG00000271698,A0A075B6T3
TRAV12-2,A0A075B6T6
TRAV12-2,A0A075B6T6
TRAV6,A0A075B6T7
TRAV9-1,A0A075B6T8
TRAV9-1,A0A075B6T8
TRAV7,A0A075B6U4
TRAV7,A0A075B6U4
TRAV8-7,A0A075B6U6
TRAJ23,A0A075B6U7
TRAJ23,A0A075B6U7
TRAJ12,A0A075B6U8
TRAJ12,A0A075B6U8
TRAJ2,A0A075B6U9
TRAJ2,A0A075B6U9
TRAJ16,A0A075B6V0
TRAJ16,A0A075B6V0
TRAJ43,A0A075B6V1
TRAJ43,A0A075B6V1
TRAJ21,A0A075B6V2
TRAJ21,A0A075B6V2
TRAJ48,A0A075B6V3
TRAJ48,A0A075B6V3
TRAV36DV7,A0A075B6V5
TRDJ2,A0A075B6V6
TRDJ2,A0A075B6V6
TRAJ26,A0A075B6V7
TRAJ26,A0A075B6V7
TRAJ5,A0A075B6V8
TRAJ5,A0A075B6V8
TRAJ59,A0A075B6V9
TRDJ3,A0A075B6W1
TRDJ3,A0A075B6W1
TRAJ52,A0A075B6W2
TRAJ52,A0A075B6W2
TRAJ33,A0A075B6W3
TRAJ33,A0A075B6W3
TRAJ46,A0A075B6W4
TRAJ46,A0A075B6W4
TRAV23DV6,A0A075B6W5
TRAJ27,A0A075B6W6
TRAJ27,A0A075B6W6
TRAJ38,A0A075B6W7
TRAJ38,A0A075B6W7
TRAJ17,A0A075B6W8
TRAJ17,A0A075B6W8
TRAJ53,A0A075B6W9
TRAJ53,A0A075B6W9
TRAJ45,A0A075B6X0
TRAJ45,A0A075B6X0
TRAJ32,A0A075B6X3
TRAJ28,A0A075B6X4
TRAJ28,A0A075B6X4
TRAV18,A0A075B6X5
TRAV18,A0A075B6X5
TRAJ50,A0A075B6X7
TRAJ50,A0A075B6X7
TRAJ44,A0A075B6X8
TRAJ44,A0A075B6X8
TRAJ18,A0A075B6X9
TRAJ18,A0A075B6X9
TRAJ49,A0A075B6Y0
TRAJ49,A0A075B6Y0
TRAJ30,A0A075B6Y1
TRAJ30,A0A075B6Y1
TRAJ35,A0A075B6Y2
TRAJ35,A0A075B6Y2
TRAJ3,A0A075B6Y3
TRAJ3,A0A075B6Y3
TRAJ19,A0A075B6Y4
TRAJ19,A0A075B6Y4
TRAJ47,A0A075B6Y5
TRAJ47,A0A075B6Y5
TRAJ11,A0A075B6Y8
TRAJ11,A0A075B6Y8
TRAJ42,A0A075B6Y9
TRAJ42,A0A075B6Y9
TRAJ22,A0A075B6Z0
TRAJ22,A0A075B6Z0
TRAJ20,A0A075B6Z1
TRAJ20,A0A075B6Z1
TRAJ56,A0A075B6Z2
TRAJ56,A0A075B6Z2
TRAJ6,A0A075B6Z3
TRAJ6,A0A075B6Z3
TRDJ4,A0A075B6Z4
TRDJ4,A0A075B6Z4
TRAJ4,A0A075B6Z5
TRAJ4,A0A075B6Z5
TRAJ25,A0A075B6Z8
TRAJ25,A0A075B6Z8
TRAJ24,A0A075B6Z9
TRAJ31,A0A075B700
TRAJ31,A0A075B700
TRAJ41,A0A075B702
TRAJ41,A0A075B702
TRAJ57,A0A075B704
TRAJ57,A0A075B704
TRDJ1,A0A075B706
TRAJ61,A0A075B708
TRAJ61,A0A075B708
TRAJ13,A0A075B709
TRAJ39,A0A075B710
TRAJ39,A0A075B710
TRAJ29,A0A075B711
TRAJ29,A0A075B711
TRAJ54,A0A075B712
TRAJ54,A0A075B712
TRAJ1,A0A075B713
TRAJ1,A0A075B713
TRAJ7,A0A075B714
TRAJ7,A0A075B714
PPIAL4E,A0A075B759
PPIAL4H,A0A075B767
IGHV4OR15-8,A0A075B7B6
IGHV4OR15-8,A0A075B7B6
IGHV3OR16-12,A0A075B7B8
IGHV3OR16-12,A0A075B7B8
IGHV1OR15-1,A0A075B7D0
IGHV1OR15-1,A0A075B7D0
IGKV1OR2-108,A0A075B7D4
IGKV1OR2-108,A0A075B7D4
IGHV3OR15-7,A0A075B7D8
IGHV3OR15-7,A0A075B7D8
IGHV3OR16-13,A0A075B7E8
IGHV3OR16-13,A0A075B7E8
IGHV3OR16-10,A0A075B7F0
IGHV3OR16-10,A0A075B7F0
IGHV3OR16-8,A0A075B7F1
IGHV3OR16-8,A0A075B7F1
IGLV5-45,A0A087WSX0
IGKV3D-15,A0A087WSY6
IGKV1D-8,A0A087WSZ0
TRAV30,A0A087WSZ9
TRAV27,A0A087WT01
TRAV9-2,A0A087WT02
TRAV26-1,A0A087WT03
KCNE1B,A0A087WTH5
TRAJ36,A0A087WU04
TRAJ36,A0A087WU04
NBPF19,A0A087WUL8
TRBV16,A0A087WV62
TBC1D3D,A0A087WVF3
IGKV2-40,A0A087WW87
MEIKIN,A0A087WXM9
TBC1D3I,A0A087WXS9
ELSPBP1,A0A087WY45
IGHV1OR21-1,A0A087WYE8
IGHV1OR21-1,A0A087WYE8
TRBV15,A0A087WZ39
ENSG00000213240,A0A087X002
TRAJ37,A0A087X096
USP50,A0A087X0L6
TRBV18,A0A087X0M5
TBC1D3E,A0A087X179
ZDHHC11B,A0A087X1A0
ENSG00000269226,A0A087X1C1
CYP2D7,A0A087X1C5
TBC1D3K,A0A087X1G2
ENSG00000256825,A0A088AWK7
ENSG00000259060,A0A096LNG9
DEFB131B,A0A096LNP1
SMIM26,A0A096LP01
CCDC187,A0A096LP49
