View Molecule Page	Protein Name	Family	SubType	Catalyzed Linkage	Species
gt_hum_428	Lactosylceramide 4-alpha-galactosyltransferase	Extension	Type 2	Gal(a4)Gal	Human (Homo sapiens)
gt_hum_428	Lactosylceramide 4-alpha-galactosyltransferase	Glycosphingolipid	Glucosylceramide-bas	Gal(a4)Gal	Human (Homo sapiens)
gt_hum_429	Beta-1,3-galactosyltransferase 1	Extension	Type 1	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_429	Beta-1,3-galactosyltransferase 1	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_429	Beta-1,3-galactosyltransferase 1	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_429	Beta-1,3-galactosyltransferase 1	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_430	Beta-1,3-galactosyltransferase 2	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_430	Beta-1,3-galactosyltransferase 2	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_430	Beta-1,3-galactosyltransferase 2	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_430	Beta-1,3-galactosyltransferase 2	Extension	Type 1	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_431	Beta-1,3-galactosyltransferase 4	Glycosphingolipid	Ganglio	Gal(b3)GalNAc	Human (Homo sapiens)
gt_hum_432	Beta-1,3-galactosyltransferase 5	Glycosphingolipid	Neolacto(NL)[Type 2]	Gal(b3)GalNAc	Human (Homo sapiens)
gt_hum_432	Beta-1,3-galactosyltransferase 5	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_432	Beta-1,3-galactosyltransferase 5	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_432	Beta-1,3-galactosyltransferase 5	Extension	Type 1	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_432	Beta-1,3-galactosyltransferase 5	Glycosphingolipid	Lacto(L)	Gal(b3)GlcNAc	Human (Homo sapiens)
gt_hum_432	Beta-1,3-galactosyltransferase 5	Glycosphingolipid	Globo	Gal(b3)GalNAc	Human (Homo sapiens)
gt_hum_432	Beta-1,3-galactosyltransferase 5	Glycosphingolipid	Isoglobo	Gal(b3)GalNAc	Human (Homo sapiens)
gt_hum_436	Beta-1,4-galactosyltransferase 1	Glycosphingolipid	Ganglio	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_436	Beta-1,4-galactosyltransferase 1	Extension	Type 2	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_436	Beta-1,4-galactosyltransferase 1	Glycosphingolipid	Isoglobo	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_436	Beta-1,4-galactosyltransferase 1	Glycosphingolipid	Globo	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_436	Beta-1,4-galactosyltransferase 1	Glycosphingolipid	Lacto(L)	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_437	Beta-1,4-galactosyltransferase 2	Glycosphingolipid	Isoglobo	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_437	Beta-1,4-galactosyltransferase 2	Glycosphingolipid	Ganglio	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_437	Beta-1,4-galactosyltransferase 2	Glycosphingolipid	Globo	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_437	Beta-1,4-galactosyltransferase 2	Glycosphingolipid	Lacto(L)	Gal(b4)GlcNAc	Human (Homo sapiens)
gt_hum_437	Beta-1,4-galactosyltransferase 2	Extension	Type 2	Gal(b4)GlcNAc	Human (Homo sapiens)
