GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
A0PJZ3	GXYLT2	enables	GO:0035252	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0039273|PANTHER:PTN000957209|UniProtKB:A0PJZ3|UniProtKB:Q4G148	9606	GO_Central		20190815
A0PJZ3	GXYLT2	enables	GO:0140563	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.2.42	9606	UniProt		20201205
A0PJZ3	GXYLT2	enables	GO:0035252	F	ECO:0000314	IDA	PMID:19940119		9606	UniProt		20091209
A6NG13	MGAT4D	enables	GO:0008375	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:2143974|MGI:MGI:2662992|PANTHER:PTN000948759	9606	GO_Central		20190221
A8MXE2	A8MXE2	enables	GO:0008375	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0000221|PANTHER:PTN000130250|UniProtKB:Q7Z7M8|UniProtKB:Q9BYG0|UniProtKB:Q9C0J1|UniProtKB:Q9NY97|UniProtKB:Q9Y2A9	9606	GO_Central		20170511
A8MXE2	A8MXE2	enables	GO:0008376	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000130250|WB:WBGene00000270	9606	GO_Central		20170511
A8MXE2	A8MXE2	enables	GO:0016758	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002659	9606	InterPro		20201205
C9J202	ALG1L2	enables	GO:0000030	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000315506|SGD:S000000314	9606	GO_Central		20170228
C9J202	ALG1L2	enables	GO:0000030	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026051	9606	InterPro		20201205
O00219	HAS3	enables	GO:0050501	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:106590|MGI:MGI:107821|MGI:MGI:109599|PANTHER:PTN000530809|RGD:2781|UniProtKB:O00219|UniProtKB:Q92819	9606	GO_Central		20170228
O00219	HAS3	enables	GO:0050501	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.212	9606	UniProt		20201205
O00219	HAS3	enables	GO:0050501	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O08650|ensembl:ENSMUSP00000034385	9606	Ensembl		20201205
O00219	HAS3	enables	GO:0050501	F	ECO:0000314	IDA	PMID:16900089		9606	UniProt	occurs_in(CL:0002306)	20120215
O00587	MFNG	enables	GO:0008375	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0011591|MGI:MGI:1095413|PANTHER:PTN000087478|UniProtKB:O00587|UniProtKB:Q8NES3	9606	GO_Central		20180308
O00587	MFNG	enables	GO:0033829	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0011591|MGI:MGI:1095413|PANTHER:PTN000087518|UniProtKB:O00587|UniProtKB:Q8NES3	9606	GO_Central		20200807
O00587	MFNG	enables	GO:0033829	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017374	9606	InterPro		20201205
O00587	MFNG	enables	GO:0033829	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.222	9606	UniProt		20201205
O00587	MFNG	enables	GO:0033829	F	ECO:0000314	IDA	PMID:10935626		9606	FlyBase		20190121
