"uniprotkb_canonical_ac","species","status","gene_symbol","uniprotkb_protein_name","ec_number","brenda_ec_number","cazy_gt_family","interpro_id","pfam_ac","go_molecular_function"
"A0PJZ3-1","Homo sapiens (Human)","reviewed","GXYLT2","Glucoside xylosyltransferase 2 (EC 2.4.2.42) (Glycosyltransferase 8 domain-containing protein 4)","2.4.2.42","","GT8","IPR002495|IPR029044","PF01501","UDP-xylosyltransferase activity [GO:0035252]"
"A6NG13-1","Homo sapiens (Human)","reviewed","MGAT4D","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein MGAT4D (N-acetylglucosaminyltransferase MGAT1 inhibitory protein) (GlcNAcT-I inhibitory protein) (GnT1IP)","","","","IPR006759","","acetylglucosaminyltransferase activity [GO:0008375]"
"A8MXE2-1","Homo sapiens (Human)","reviewed","","Putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC100288842 (EC 2.4.1.-) (Putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC402377) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 pseudogene)","2.4.1.-","","","IPR002659","PF01762","acetylgalactosaminyltransferase activity [GO:0008376]|galactosyltransferase activity [GO:0008378]|N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]"
"C9J202-1","Homo sapiens (Human)","reviewed","ALG1L2","Putative glycosyltransferase ALG1L2 (EC 2.4.1.-)","2.4.1.-","","","IPR026051","","mannosyltransferase activity [GO:0000030]"
"O00219-1","Homo sapiens (Human)","reviewed","HAS3","Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)","2.4.1.212","2.4.1.212","GT2","IPR029044","","hyaluronan synthase activity [GO:0050501]|identical protein binding [GO:0042802]"
"O00587-1","Homo sapiens (Human)","reviewed","MFNG","Beta-1,3-N-acetylglucosaminyltransferase manic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)","2.4.1.222","","GT31","IPR017374|IPR003378","PF02434","acetylglucosaminyltransferase activity [GO:0008375]|metal ion binding [GO:0046872]|O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity [GO:0033829]"
"O15294-1","Homo sapiens (Human)","reviewed","OGT","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)","2.4.1.255","2.4.1.255","GT41","IPR037919|IPR029489|IPR013026|IPR011990|IPR001440|IPR019734","PF13844|PF00515|PF13181","acetylglucosaminyltransferase activity [GO:0008375]|phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]|protein N-acetylglucosaminyltransferase activity [GO:0016262]|protein O-GlcNAc transferase activity [GO:0097363]"
"O15466-1","Homo sapiens (Human)","reviewed","ST8SIA5","Alpha-2,8-sialyltransferase 8E (EC 2.4.99.-) (Sialyltransferase 8E) (SIAT8-E) (Sialyltransferase St8Sia V) (ST8SiaV)","2.4.99.-","","GT29","IPR001675|IPR038578|IPR012163","PF00777","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]|sialyltransferase activity [GO:0008373]"
"O15488-1","Homo sapiens (Human)","reviewed","GYG2","Glycogenin-2 (GN-2) (GN2) (EC 2.4.1.186)","2.4.1.186","","GT8","IPR002495|IPR029044","PF01501","glycogenin glucosyltransferase activity [GO:0008466]|metal ion binding [GO:0046872]|UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity [GO:0102751]"
"O43173-1","Homo sapiens (Human)","reviewed","ST8SIA3","Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8C) (Alpha-2,8-sialyltransferase III) (ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3) (Sialyltransferase 8C) (SIAT8-C) (Sialyltransferase St8Sia III) (ST8SiaIII)","2.4.99.-","","GT29","IPR001675|IPR038578|IPR012163","PF00777","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]|identical protein binding [GO:0042802]|sialic acid binding [GO:0033691]|sialyltransferase activity [GO:0008373]"
